,PROD_CD,SLSMAN_CD,PLAN_MONTH,TARGET_IN_EA,ACH_IN_EA
694,56,87,10,180,0
695,35,178,10,7488,8725
696,22,217,11,22800,26992
697,38,152,12,324,234
698,36,14,11,24,27
701,25,92,10,1188,1481
702,35,32,12,3456,3295
704,18,127,11,492,218
706,35,17,11,10944,13177
707,39,187,12,0,30
708,50,79,12,29520,11026
710,3,163,11,40,0
712,39,110,11,216,401
713,59,37,12,2142,1086
714,31,150,10,800,201
715,12,49,12,0,72
716,83,198,11,0,1334
717,15,23,11,6276,6192
718,1,130,11,0,6
719,58,114,11,15960,17652
722,82,131,11,0,1711
723,14,109,11,26712,15946
724,23,52,11,36,43
725,62,56,10,1680,724
726,31,66,11,400,53
727,23,173,10,108,114
728,81,47,12,480,1295
729,26,97,10,12,0
731,5,27,11,480,379
732,56,178,11,684,469
733,31,37,12,16000,22620
734,5,135,11,0,15
737,4,114,12,40,0
738,59,45,12,1596,678
740,59,117,10,1008,444
741,11,105,10,216,266
742,16,18,10,0,1000
743,11,1,10,432,356
744,17,161,12,11916,0
745,47,162,10,600,516
746,51,3,12,0,10398
747,22,217,12,31200,22828
748,62,169,11,5292,4072
750,5,117,12,240,205
751,62,209,12,0,7
754,18,152,10,3516,3874
755,62,53,12,4578,0
756,37,194,11,108,90
757,25,104,11,324,319
758,77,138,11,0,30
759,62,46,10,5502,2876
761,19,59,11,0,445
762,56,211,11,684,732
764,26,83,11,324,72
765,13,184,12,3096,3067
766,80,192,12,768,242
767,15,122,10,2868,3174
768,14,136,12,20376,19617
769,50,91,11,68976,73053
770,47,51,11,4560,2681
771,27,99,12,108,77
772,14,112,10,22068,25260
773,14,122,11,13860,14371
774,47,104,11,1392,2041
775,37,62,12,72,56
776,19,57,10,672,466
777,81,7,10,48,0
778,11,210,10,180,269
779,58,158,10,1512,1591
782,18,29,12,444,0
784,11,131,11,324,255
785,67,213,10,0,55
786,31,197,10,12000,16300
787,5,99,11,320,197
789,10,126,12,0,91
790,59,24,12,0,2
792,37,90,12,36,27
793,11,53,11,108,131
794,80,92,10,1800,1801
795,23,10,12,252,254
796,54,14,12,12,0
797,59,108,11,210,264
798,11,142,10,252,220
799,48,128,10,24,0
800,39,12,11,396,400
801,23,198,11,36,13
802,45,193,10,48,0
803,35,33,11,1536,6312
804,36,142,10,24,11
805,16,94,11,468,1972
806,14,127,11,20196,18693
807,15,66,10,5208,6325
809,81,191,10,0,1
810,38,9,11,144,121
811,19,138,10,16128,16833
814,14,191,10,14112,22779
815,62,87,10,12348,6016
816,36,191,11,24,18
819,27,191,10,180,327
820,45,117,12,2880,816
821,33,170,11,252,72
823,14,205,11,0,1097
824,62,119,10,3948,2636
